artiste,artisteLabel,image,imageLabel
http://www.wikidata.org/entity/Q1016474,Burkhard Mangold,http://commons.wikimedia.org/wiki/Special:FilePath/Burkhard%20Mangold-77.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Burkhard%20Mangold-77.jpg
http://www.wikidata.org/entity/Q1135215,Corradino D'Ascanio,http://commons.wikimedia.org/wiki/Special:FilePath/Corradino%20D%27Ascanio.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Corradino%20D%27Ascanio.jpg
http://www.wikidata.org/entity/Q1125975,Riccardo Licata,http://commons.wikimedia.org/wiki/Special:FilePath/Riccardo%20Licata.png,http://commons.wikimedia.org/wiki/Special:FilePath/Riccardo%20Licata.png
http://www.wikidata.org/entity/Q959097,Hendrik Willem van Loon,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Willem%20van%20Loon%20cph.3a02154.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Willem%20van%20Loon%20cph.3a02154.jpg
http://www.wikidata.org/entity/Q1219296,Gérard Garouste,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Garouste%202018.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Garouste%202018.jpg
http://www.wikidata.org/entity/Q1000203,Robert Mallet-Stevens,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Mallet-Stevens%20-%20portrait%20photo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Mallet-Stevens%20-%20portrait%20photo.jpg
http://www.wikidata.org/entity/Q1225201,Desiderius Orban,http://commons.wikimedia.org/wiki/Special:FilePath/Orb%C3%A1n%20Dezs%C5%91%20%28fest%C5%91%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Orb%C3%A1n%20Dezs%C5%91%20%28fest%C5%91%29.jpg
http://www.wikidata.org/entity/Q1096098,Andrés Jaque,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Jaque%20at%20Columbia%20GSAPP.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Jaque%20at%20Columbia%20GSAPP.jpg
http://www.wikidata.org/entity/Q991871,Bruce Weber,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Weber%20%282024%29%2C%20Prague.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Weber%20%282024%29%2C%20Prague.jpg
http://www.wikidata.org/entity/Q1231971,Sterling Ruby,http://commons.wikimedia.org/wiki/Special:FilePath/SterlingRubyPortrait2012.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/SterlingRubyPortrait2012.jpg
http://www.wikidata.org/entity/Q997510,Johannes Gecelli,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Geccelli%2C%201975%20-%20Foto%20von%20Dietmar%20B%C3%BChrer.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Geccelli%2C%201975%20-%20Foto%20von%20Dietmar%20B%C3%BChrer.jpg
http://www.wikidata.org/entity/Q1243449,Walton Ford,http://commons.wikimedia.org/wiki/Special:FilePath/Walton%20Ford%202011%20%282%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Walton%20Ford%202011%20%282%29.jpg
http://www.wikidata.org/entity/Q1065673,Charles Nègre,http://commons.wikimedia.org/wiki/Special:FilePath/Negre%20autoportrait.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Negre%20autoportrait.jpg
http://www.wikidata.org/entity/Q957475,Herbert Brenon,http://commons.wikimedia.org/wiki/Special:FilePath/Herbertbrenon.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Herbertbrenon.jpg
http://www.wikidata.org/entity/Q1070518,Cheryl Dunye,http://commons.wikimedia.org/wiki/Special:FilePath/Cheryl%20Dunye%202.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Cheryl%20Dunye%202.jpg
http://www.wikidata.org/entity/Q971582,Henry Flynt,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Flynt%20photo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Flynt%20photo.jpg
http://www.wikidata.org/entity/Q953717,Gordon Matta-Clark,http://commons.wikimedia.org/wiki/Special:FilePath/Opening%20the%20doors%20of%20Food.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Opening%20the%20doors%20of%20Food.jpg
http://www.wikidata.org/entity/Q1008673,Paul Dougherty,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Dougherty%20%283018345795%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Dougherty%20%283018345795%29.jpg
http://www.wikidata.org/entity/Q1041683,Carlfriedrich Claus,http://commons.wikimedia.org/wiki/Special:FilePath/Carlfriedrich%20Claus%201978%20ROK.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Carlfriedrich%20Claus%201978%20ROK.jpg
http://www.wikidata.org/entity/Q1185708,Rafał Olbiński,http://commons.wikimedia.org/wiki/Special:FilePath/Rafa%C5%82%20Olbi%C5%84ski.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Rafa%C5%82%20Olbi%C5%84ski.JPG
http://www.wikidata.org/entity/Q1234088,Juan Soriano,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Juan%20Soriano%20por%20Mizael%20C.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Retrato%20de%20Juan%20Soriano%20por%20Mizael%20C.jpg
http://www.wikidata.org/entity/Q1157532,Daidō Moriyama,http://commons.wikimedia.org/wiki/Special:FilePath/DaidoMoriyamaBySebastianMayer.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/DaidoMoriyamaBySebastianMayer.jpg
http://www.wikidata.org/entity/Q491039,Paul César Helleu,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20C%C3%A9sar%20Helleu%201903.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20C%C3%A9sar%20Helleu%201903.jpg
http://www.wikidata.org/entity/Q469063,Jules Pascin,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Pascin%20im%20Caf%C3%A9%20du%20D%C3%B4me%2C%20Paris%201910.png,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Pascin%20im%20Caf%C3%A9%20du%20D%C3%B4me%2C%20Paris%201910.png
http://www.wikidata.org/entity/Q469073,Yael Bartana,http://commons.wikimedia.org/wiki/Special:FilePath/Pressekonferenz%20zur%20Aktion%20%E2%80%9EZwei%20Minuten%20Stillstand%E2%80%9C%20von%20Yael%20Bartana-1482.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Pressekonferenz%20zur%20Aktion%20%E2%80%9EZwei%20Minuten%20Stillstand%E2%80%9C%20von%20Yael%20Bartana-1482.jpg
http://www.wikidata.org/entity/Q472989,Lucian Bernhard,http://commons.wikimedia.org/wiki/Special:FilePath/Lucian%20Bernhard%20c.%201929%20%28crop%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lucian%20Bernhard%20c.%201929%20%28crop%29.jpg
http://www.wikidata.org/entity/Q471419,Hans-Peter Feldmann,http://commons.wikimedia.org/wiki/Special:FilePath/Hans-peter%20feldman.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hans-peter%20feldman.jpg
http://www.wikidata.org/entity/Q472756,Piero Manzoni,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20manzoni%2012.png,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20manzoni%2012.png
http://www.wikidata.org/entity/Q503641,Urs Fischer,http://commons.wikimedia.org/wiki/Special:FilePath/Urs%20Fisher%20en%20Ciudad%20de%20M%C3%A9xico.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Urs%20Fisher%20en%20Ciudad%20de%20M%C3%A9xico.jpg
http://www.wikidata.org/entity/Q473044,Hideo Hagiwara,http://commons.wikimedia.org/wiki/Special:FilePath/Hideo%20Hagiwara%20Shinchosha%201962-6.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hideo%20Hagiwara%20Shinchosha%201962-6.jpg
http://www.wikidata.org/entity/Q466946,Tina Modotti,http://commons.wikimedia.org/wiki/Special:FilePath/Tina%20Modotti%20-%20Edward%20Weston.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tina%20Modotti%20-%20Edward%20Weston.jpg
http://www.wikidata.org/entity/Q465777,Vija Celmins,http://commons.wikimedia.org/wiki/Special:FilePath/F20230912ES-0605%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/F20230912ES-0605%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q504641,Steve Lacy,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Lacy.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Lacy.jpg
http://www.wikidata.org/entity/Q461340,"Paris Observatory, PSL University",http://commons.wikimedia.org/wiki/Special:FilePath/Obs-Paris-coupole-Arago.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Obs-Paris-coupole-Arago.jpg
http://www.wikidata.org/entity/Q464476,Black Flag,http://commons.wikimedia.org/wiki/Special:FilePath/Black%20Flag%20-%202019.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Black%20Flag%20-%202019.jpg
http://www.wikidata.org/entity/Q466187,Pavel Filonov,http://commons.wikimedia.org/wiki/Special:FilePath/Filonov%20Selfportrait%201921.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Filonov%20Selfportrait%201921.JPG
http://www.wikidata.org/entity/Q468160,Paul Rand,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20rand%20loc.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20rand%20loc.jpg
